center,left,right,steering,throttle,reverse,speed
dataset-1/IMG/center_2016_12_01_13_30_48_404.jpg,dataset-1/IMG/left_2016_12_01_13_30_48_404.jpg,dataset-1/IMG/right_2016_12_01_13_30_48_404.jpg,0.0,0.0,0.0,21.87963
dataset-1/IMG/center_2016_12_01_13_31_12_937.jpg,dataset-1/IMG/left_2016_12_01_13_31_12_937.jpg,dataset-1/IMG/right_2016_12_01_13_31_12_937.jpg,0.0,0.0,0.0,1.453011
dataset-1/IMG/center_2016_12_01_13_31_13_037.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_037.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_037.jpg,0.0,0.0,0.0,1.4384190000000001
dataset-1/IMG/center_2016_12_01_13_31_13_177.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_177.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_177.jpg,0.0,0.0,0.0,1.418236
dataset-1/IMG/center_2016_12_01_13_31_13_279.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_279.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_279.jpg,0.0,0.0,0.0,1.403993
dataset-1/IMG/center_2016_12_01_13_31_13_381.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_381.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_381.jpg,0.0,0.0,0.0,1.389892
dataset-1/IMG/center_2016_12_01_13_31_13_482.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_482.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_482.jpg,0.0,0.0,0.0,1.375934
dataset-1/IMG/center_2016_12_01_13_31_13_584.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_584.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_584.jpg,0.0,0.0,0.0,1.362115
dataset-1/IMG/center_2016_12_01_13_31_13_686.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_686.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_686.jpg,0.0,0.0,0.0,1.348435
dataset-1/IMG/center_2016_12_01_13_31_13_786.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_786.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_786.jpg,0.0,0.0,0.0,1.334892
dataset-1/IMG/center_2016_12_01_13_31_13_890.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_890.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_890.jpg,0.0,0.0,0.0,1.31882
dataset-1/IMG/center_2016_12_01_13_31_13_991.jpg,dataset-1/IMG/left_2016_12_01_13_31_13_991.jpg,dataset-1/IMG/right_2016_12_01_13_31_13_991.jpg,0.0,0.0,0.0,1.305575
dataset-1/IMG/center_2016_12_01_13_31_14_092.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_092.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_092.jpg,0.0,0.0,0.0,1.2925790000000001
dataset-1/IMG/center_2016_12_01_13_31_14_194.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_194.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_194.jpg,0.0,0.0,0.0,1.279884
dataset-1/IMG/center_2016_12_01_13_31_14_295.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_295.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_295.jpg,0.0,0.0,0.0,1.2673159999999999
dataset-1/IMG/center_2016_12_01_13_31_14_398.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_398.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_398.jpg,0.0,0.0,0.0,1.254873
dataset-1/IMG/center_2016_12_01_13_31_14_500.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_500.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_500.jpg,0.0,0.0,0.0,1.2425549999999999
dataset-1/IMG/center_2016_12_01_13_31_14_602.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_602.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_602.jpg,0.0,0.0,0.0,1.230361
dataset-1/IMG/center_2016_12_01_13_31_14_702.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_702.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_702.jpg,0.0,0.0,0.0,1.218291
dataset-1/IMG/center_2016_12_01_13_31_14_803.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_803.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_803.jpg,0.0,0.0,0.0,1.206346
dataset-1/IMG/center_2016_12_01_13_31_14_904.jpg,dataset-1/IMG/left_2016_12_01_13_31_14_904.jpg,dataset-1/IMG/right_2016_12_01_13_31_14_904.jpg,0.0,0.0,0.0,1.194345
dataset-1/IMG/center_2016_12_01_13_31_15_005.jpg,dataset-1/IMG/left_2016_12_01_13_31_15_005.jpg,dataset-1/IMG/right_2016_12_01_13_31_15_005.jpg,0.0,0.0,0.0,1.182352
dataset-1/IMG/center_2016_12_01_13_31_15_106.jpg,dataset-1/IMG/left_2016_12_01_13_31_15_106.jpg,dataset-1/IMG/right_2016_12_01_13_31_15_106.jpg,0.0,0.0,0.0,1.170474
dataset-1/IMG/center_2016_12_01_13_31_15_208.jpg,dataset-1/IMG/left_2016_12_01_13_31_15_208.jpg,dataset-1/IMG/right_2016_12_01_13_31_15_208.jpg,0.0,0.0,0.0,1.1563780000000001
dataset-1/IMG/center_2016_12_01_13_31_15_308.jpg,dataset-1/IMG/left_2016_12_01_13_31_15_308.jpg,dataset-1/IMG/right_2016_12_01_13_31_15_308.jpg,0.0,0.0,0.0,1.1447610000000001
dataset-1/IMG/center_2016_12_01_13_31_15_411.jpg,dataset-1/IMG/left_2016_12_01_13_31_15_411.jpg,dataset-1/IMG/right_2016_12_01_13_31_15_411.jpg,0.0,0.0,0.0,1.13326
dataset-1/IMG/center_2016_12_01_13_31_15_513.jpg,dataset-1/IMG/left_2016_12_01_13_31_15_513.jpg,dataset-1/IMG/right_2016_12_01_13_31_15_513.jpg,0.0,0.0,0.0,1.121875
dataset-1/IMG/center_2016_12_01_13_32_35_588.jpg,dataset-1/IMG/left_2016_12_01_13_32_35_588.jpg,dataset-1/IMG/right_2016_12_01_13_32_35_588.jpg,0.0,0.0,0.0,1.0873760000000001
dataset-1/IMG/center_2016_12_01_13_32_39_212.jpg,dataset-1/IMG/left_2016_12_01_13_32_39_212.jpg,dataset-1/IMG/right_2016_12_01_13_32_39_212.jpg,0.0,0.0,0.0,0.7550650999999999
dataset-1/IMG/center_2016_12_01_13_32_40_171.jpg,dataset-1/IMG/left_2016_12_01_13_32_40_171.jpg,dataset-1/IMG/right_2016_12_01_13_32_40_171.jpg,0.0,0.0,0.0,0.685472
dataset-1/IMG/center_2016_12_01_13_32_41_438.jpg,dataset-1/IMG/left_2016_12_01_13_32_41_438.jpg,dataset-1/IMG/right_2016_12_01_13_32_41_438.jpg,0.0,0.0,0.0,0.6037826
dataset-1/IMG/center_2016_12_01_13_32_41_538.jpg,dataset-1/IMG/left_2016_12_01_13_32_41_538.jpg,dataset-1/IMG/right_2016_12_01_13_32_41_538.jpg,0.0,0.0,0.0,0.597733
dataset-1/IMG/center_2016_12_01_13_32_41_640.jpg,dataset-1/IMG/left_2016_12_01_13_32_41_640.jpg,dataset-1/IMG/right_2016_12_01_13_32_41_640.jpg,0.0,0.0,0.0,0.5917443
dataset-1/IMG/center_2016_12_01_13_32_41_740.jpg,dataset-1/IMG/left_2016_12_01_13_32_41_740.jpg,dataset-1/IMG/right_2016_12_01_13_32_41_740.jpg,0.0,0.0,0.0,0.5858156999999999
dataset-1/IMG/center_2016_12_01_13_32_41_841.jpg,dataset-1/IMG/left_2016_12_01_13_32_41_841.jpg,dataset-1/IMG/right_2016_12_01_13_32_41_841.jpg,0.0,0.0,0.0,0.5799465
dataset-1/IMG/center_2016_12_01_13_32_41_943.jpg,dataset-1/IMG/left_2016_12_01_13_32_41_943.jpg,dataset-1/IMG/right_2016_12_01_13_32_41_943.jpg,0.0,0.0,0.0,0.5741369000000001
dataset-1/IMG/center_2016_12_01_13_32_42_043.jpg,dataset-1/IMG/left_2016_12_01_13_32_42_043.jpg,dataset-1/IMG/right_2016_12_01_13_32_42_043.jpg,0.0,0.0,0.0,0.5683888000000001
dataset-1/IMG/center_2016_12_01_13_32_42_143.jpg,dataset-1/IMG/left_2016_12_01_13_32_42_143.jpg,dataset-1/IMG/right_2016_12_01_13_32_42_143.jpg,0.0,0.0,0.0,0.5626981
